year,quarter,tag,question_count
2021,1,coreml,36
2021,1,firebase-mlkit,18
2021,1,google-mlkit,51
2021,1,mediapipe,10
2021,1,onnxruntime,18
2021,1,tensorflow-lite,144
2021,2,coreml,32
2021,2,firebase-mlkit,13
2021,2,google-mlkit,47
2021,2,mediapipe,35
2021,2,onnxruntime,8
2021,2,tensorflow-lite,142
2021,3,coreml,16
2021,3,firebase-mlkit,9
2021,3,google-mlkit,44
2021,3,mediapipe,64
2021,3,onnxruntime,17
2021,3,tensorflow-lite,113
2021,4,coreml,23
2021,4,firebase-mlkit,5
2021,4,google-mlkit,34
2021,4,mediapipe,58
2021,4,onnxruntime,21
2021,4,tensorflow-lite,86
2022,1,coreml,25
2022,1,firebase-mlkit,9
2022,1,google-mlkit,41
2022,1,mediapipe,72
2022,1,onnxruntime,34
2022,1,tensorflow-lite,127
2022,2,coreml,34
2022,2,firebase-mlkit,12
2022,2,google-mlkit,49
2022,2,mediapipe,80
2022,2,onnxruntime,18
2022,2,tensorflow-lite,124
2022,3,coreml,28
2022,3,firebase-mlkit,8
2022,3,google-mlkit,38
2022,3,mediapipe,61
2022,3,onnxruntime,17
2022,3,tensorflow-lite,78
